,com_code,Nom,population,forêt,K2,densité population,densité de foret,temperature,humidity,weather_description,code_dep
167,57672,Thionville,42914,0,"58,64895758",732,0,"16,78",70,overcast clouds,57
168,58194,Nevers,33825,0,"18,61551031",1817,0,"15,27",75,overcast clouds,58
169,59009,Villeneuve-d'Ascq,62700,0,"34,12858568",1837,0,"15,29",71,overcast clouds,59
170,59017,Armentières,25950,0,"7,700020802",3370,0,"15,04",71,overcast clouds,59
171,59122,Cambrai,31972,0,"22,05195634",1450,0,"14,73",95,overcast clouds,59
172,59155,Coudekerque-Branche,21012,0,"11,54852869",1819,0,"14,96",51,overcast clouds,59
173,59163,Croix,21016,32450,"5,592322141",3758,5803,"15,27",72,overcast clouds,59
174,59172,Denain,20758,0,"14,16390611",1466,0,"15,11",90,overcast clouds,59
175,59178,Douai,40474,0,"20,77659127",1948,0,"14,96",88,overcast clouds,59
176,59183,Dunkerque,88024,0,"54,03646243",1629,0,"14,78",85,overcast clouds,59
177,59271,Grande-Synthe,20528,3961,"26,46233266",776,150,"14,96",41,overcast clouds,59
178,59279,Halluin,20964,0,"15,66944165",1338,0,"15,31",81,overcast clouds,59
179,59295,Hazebrouck,21899,0,"34,13903235",641,0,"14,73",86,overcast clouds,59
180,59328,Lambersart,27563,0,"7,492917466",3679,0,"15,34",72,overcast clouds,59
181,59350,Lille,238542,0,"43,29250994",5510,0,"15,34",71,overcast clouds,59
182,59360,Loos,23271,0,"8,542107568",2724,0,"15,04",69,overcast clouds,59
183,59368,La Madeleine,22665,0,"3,366365221",6733,0,"15,31",72,overcast clouds,59
184,59378,Marcq-en-Barul,40044,0,"17,29135869",2316,0,"15,38",72,overcast clouds,59
185,59392,Maubeuge,29344,0,"23,1737676",1266,0,"14,18",30,overcast clouds,59
186,59410,Mons-en-Barul,21600,0,"3,587099953",6022,0,"15,27",72,overcast clouds,59
187,59512,Roubaix,99314,0,"16,36563178",6068,0,"15,29",74,overcast clouds,59
188,59599,Tourcoing,99679,0,"18,88183984",5279,0,"15,27",74,overcast clouds,59
189,59606,Valenciennes,43467,0,"17,01411091",2555,0,"15,12",90,overcast clouds,59
190,59646,Wasquehal,21062,0,"8,532707737",2468,0,"15,3",72,overcast clouds,59
191,59650,Wattrelos,41024,0,"16,81936974",2439,0,"15,31",75,overcast clouds,59
192,60057,Beauvais,58117,0,"39,0365561",1489,0,"17,11",77,overcast clouds,60
193,60159,Compiègne,41418,28845840,"62,64346728",661,460476,"16,76",81,overcast clouds,60
194,60175,Creil,36364,0,"12,96081033",2806,0,"17,2",83,overcast clouds,60
195,60463,Nogent-sur-Oise,21731,0,"8,699695086",2498,0,"17,33",83,overcast clouds,60
196,61001,Alençon,26317,0,"12,26007691",2147,0,"16,77",80,overcast clouds,61
197,62041,Arras,43371,0,"14,58556818",2974,0,"14,59",88,overcast clouds,62
198,62119,Béthune,25303,0,"11,75564004",2152,0,"14,83",87,overcast clouds,62
199,62160,Boulogne-sur-Mer,41310,0,"9,654045692",4279,0,"11,88",95,overcast clouds,62
200,62178,Bruay-la-Buissière,22190,0,"20,2213395",1097,0,"14,42",87,overcast clouds,62
201,62193,Calais,68002,4432,"41,91737089",1622,106,"15,03",95,overcast clouds,62
202,62427,Hénin-Beaumont,26396,0,"25,4819245",1036,0,"14,95",76,overcast clouds,62
203,62498,Lens,32820,0,"14,37265642",2284,0,"14,97",71,overcast clouds,62
204,62510,Liévin,30497,0,"15,83544468",1926,0,"14,78",79,overcast clouds,62
205,63113,Clermont-Ferrand,149830,1667820,"44,33767208",3379,37616,"13,63",39,clear sky,63
206,63124,Cournon-d'Auvergne,20549,0,"19,46002704",1056,0,"16,73",39,clear sky,63
207,64024,Anglet,42228,697320,"26,23790777",1609,26577,"16,17",63,few clouds,64
208,64102,Bayonne,54029,7504,"24,53085652",2202,306,"15,68",59,clear sky,64
209,64122,Biarritz,26435,5270,"11,71443159",2257,450,"16,16",59,clear sky,64
210,64445,Pau,78375,1154010,"29,79150736",2631,38736,"19,39",48,clear sky,64
211,65440,Tarbes,44941,0,"14,47794421",3104,0,"18,26",48,clear sky,65
212,66136,Perpignan,121139,19254,"63,11420434",1919,305,"20,86",33,clear sky,66
213,67180,Haguenau,36273,67103397,"211,7368907",171,316919,"17,68",56,overcast clouds,67
214,67218,Illkirch-Graffenstaden,27642,323907,"25,34112079",1091,12782,"17,88",36,clear sky,67
215,67267,Lingolsheim,20410,0,"6,489612694",3145,0,"17,07",50,overcast clouds,67
216,67447,Schiltigheim,34352,0,"8,760561241",3921,0,"17,24",52,overcast clouds,67
217,67482,Strasbourg,294229,3373110,"89,18533758",3299,37821,"17,68",36,clear sky,67
218,68066,Colmar,68766,38345615,"74,5895197",922,514089,"17,96",34,clear sky,68
219,68224,Mulhouse,107562,3405,"24,76935481",4343,137,"16,3",41,overcast clouds,68
220,68297,Saint-Louis,22959,47601,"18,7138609",1227,2544,"42,8",8,clear sky,68
221,69029,Bron,43427,0,"10,54749468",4117,0,"17,09",52,clear sky,69
222,69034,Caluire-et-Cuire,44171,0,"10,72375179",4119,0,"17,05",45,clear sky,69
223,69091,Givors,20768,20645,"17,8269073",1165,1158,"17,21",40,broken clouds,69
224,69123,Lyon,528550,420225,"49,28617836",10724,8526,"14,96",47,broken clouds,69
225,69149,Oullins,27385,0,"4,488354306",6101,0,"17,19",47,clear sky,69
226,69202,Sainte-Foy-lès-Lyon,22241,1728,"7,039756709",3159,245,"16,44",47,clear sky,69
227,69204,Saint-Genis-Laval,21400,0,"13,24026536",1616,0,"16,86",47,clear sky,69
228,69244,Tassin-la-Demi-Lune,23017,0,"8,162250237",2820,0,"17,02",46,clear sky,69
229,69256,Vaulx-en-Velin,52343,257163,"21,58666756",2425,11913,"17,28",52,clear sky,69
230,69259,Vénissieux,66575,13028,"15,77413075",4221,826,"17,19",53,clear sky,69
231,69264,Villefranche-sur-Saône,36349,11140,"9,812342856",3704,1135,"15,73",48,broken clouds,69
232,69266,Villeurbanne,157953,0,"15,29007397",10330,0,"17,63",51,clear sky,69
233,69275,Décines-Charpieu,29878,401376,"17,5234048",1705,22905,"17,19",52,clear sky,69
234,69282,Meyzieu,36228,138177,"24,23776276",1495,5701,"17,13",52,clear sky,69
235,69286,Rillieux-la-Pape,31548,0,"15,02265278",2100,0,"16,76",47,clear sky,69
236,69290,Saint-Priest,49100,2984363,"30,47518683",1611,97928,"17,48",52,clear sky,69
237,71076,Chalon-sur-Saône,46538,0,"16,32799675",2850,0,"13,5",77,broken clouds,71
238,71153,Le Creusot,20997,0,"19,35954492",1085,0,"17,04",74,overcast clouds,71
239,71270,Mâcon,35238,0,"28,45344306",1238,0,"18,25",66,overcast clouds,71
240,72181,Le Mans,147800,0,"58,84889012",2512,0,"21,96",43,clear sky,72
241,73008,Aix-les-Bains,32401,68712,"16,19684197",2000,4242,"17,13",57,clear sky,73
242,73011,Albertville,20385,38680,"17,77530991",1147,2176,"19,12",72,scattered clouds,73
243,73065,Chambéry,61411,650586,"21,67115763",2834,30021,"17,45",53,clear sky,73
244,74010,Annecy,134738,919857,"72,03188812",1871,12770,"17,03",48,clear sky,74
245,74012,Annemasse,38314,0,"5,176625636",7401,0,"17,01",42,clear sky,74
246,74281,Thonon-les-Bains,38094,45188,"17,24048788",2210,2621,"11,8",56,broken clouds,74
247,75056,Paris,2149216,612340,"121,5756332",17678,5037,"18,53",69,broken clouds,75
248,76217,Dieppe,28813,0,"14,67566989",1963,0,"16,12",83,overcast clouds,76
249,76322,Le Grand-Quevilly,26200,0,"13,01982609",2012,0,"18,51",68,overcast clouds,76
250,76351,Le Havre,167838,0,"67,93698762",2470,0,"13,51",94,overcast clouds,76
251,76451,Mont-Saint-Aignan,20481,0,"9,32220613",2197,0,"17,71",68,overcast clouds,76
