com_code;code postal;Nom;com pos;lat;lon;population;forêt;K2;densité popopulation;densité de foret;temperature;humidity;weather_description;market;nb_hop;log moy;log min;log max
40088;40100;Dax;40100-Dax;43,7006747;-1,060144298;22169;0;18,89148725;1173;0;20;74;scattered clouds;6;2;215313;1;3051850
40192;40000;Mont-de-Marsan;40000-Mont-de-Marsan;43,8993614;-0,490722577;32058;347758;35,21884203;910;9874;19;63;few clouds;58;1;826994;150;5498756
41018;41000;Blois;41000-Blois;47,58170139;1,306255516;48270;0;41,31387178;1168;0;19;75;overcast clouds;80;1;384957;1;9088000
42187;42300;Roanne;42300-Roanne;46,04491125;4,079704565;35492;9096;16,70568316;2125;544;17;70;broken clouds;2;1;468303;1;18812396
42207;42400;Saint-Chamond;42400-Saint-Chamond;45,46983195;4,501849895;35421;45872;56,10215075;631;818;16;44;clear sky;13;2;160808;1;501420
42218;42000;Saint-Étienne;42000-Saint-Étienne;45,43012355;4,379139971;174499;163625;81,31959807;2146;2012;14;40;broken clouds;9;0;185375;1;6027000
44020;44340;Bouguenais;44340-Bouguenais;47,17090617;-1,617397529;20732;0;33,77382292;614;0;19;63;clear sky;1;0;574748;3;13000000
44026;44470;Carquefou;44470-Carquefou;47,30171918;-1,472772001;21029;0;47,19661882;446;0;19;64;clear sky;0;0;509121;1;21600000
44035;44240;La Chapelle-sur-Erdre;44240-La Chapelle-sur-Erdre;47,30356296;-1,560785967;20813;0;36,36630632;572;0;19;64;clear sky;2;0;428884;1;2100000
44047;44220;Couëron;44220-Couëron;47,2309985;-1,729290026;23329;0;52,95580796;441;0;19;63;clear sky;11;0;223205;75;839750
44109;44000;Nantes;44000-Nantes;47,23163568;-1,548310086;328144;31970;71,43585962;4594;448;19;55;clear sky;58;1;630782;500;7262390
44114;44700;Orvault;44700-Orvault;47,27398155;-1,623238985;28545;0;30,22523896;944;0;19;64;clear sky;18;0;6163237;1;20029876
44143;44400;Rezé;44400-Rezé;47,17623389;-1,549663999;43720;0;16,8477483;2595;0;19;63;clear sky;31;1;876390;76;8879122
44162;44800;Saint-Herblain;44800-Saint-Herblain;47,22437624;-1,634348187;50253;0;32,50323881;1546;0;19;63;clear sky;20;0;358115;1;9935000
44184;44600;Saint-Nazaire;44600-Saint-Nazaire;47,2802857;-2,253799272;73760;22680;54,42423277;1355;417;16;79;clear sky;1;1;396004;1;6430000
44190;44230;Saint-Sébastien-sur-Loire;44230-Saint-Sébastien-sur-Loire;47,20310248;-1,499204274;28937;0;12,73249479;2273;0;19;63;clear sky;5;0;240093;276;964000
