uo_lib;nom_court;type_d_etablissement;secteur_d_etablissement;url;coordonnees;lat;lon;element_wikidata;date_creation;dep_id;dep_nom;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;inscrits_2022
École nationale supérieure de mécanique et des microtechniques;ENSMM Besançon;École;public;https://www,ens2m,fr/;47,25112,5,99307;47.2511;5.99307;https://www,wikidata,org/entity/Q3578235;1980;D025;Doubs;25030;Besançon CEDEX;France;759
École navale;;Grand établissement;public;https://www,ecole-navale,fr/;48,279263,-4,417857;48.2792;-4.417857;https://www,wikidata,org/entity/Q974394;1827;D029;Finistère;29200;Brest CEDEX 9;France;
Institut supérieur de l'électronique et du numérique de Brest;Yncréa Ouest;École;privé;https://isen-brest,fr/;48,407023,-4,495576;48.4070;-4.495576;https://www,wikidata,org/entity/Q51648617;01/09/1994;D029;Finistère;29200;Brest;France;
Université de Bretagne Occidentale;;Université;public;http://www,univ-brest,fr/;48,39803,-4,5077;48.3980;-4.5077;https://www,wikidata,org/entity/Q1857334;1969;D029;Finistère;29238;Brest CEDEX 3;France;23415
École nationale d'ingénieurs de Brest;;École;public;http://www,enib,fr/;48,3607,-4,56558;48.3607;-4.56558;https://www,wikidata,org/entity/Q273564;15/11/1961;D029;Finistère;29238;Brest CEDEX 3;France;760
Brest Business School;Brest BS;École;privé;https://brest-bs,com/;48,4059433199,-4,5215645694;48.4059;-4.5215645694;https://www,wikidata,org/entity/Q3578429;1962;D029;Finistère;29238;BREST CEDEX 2;France;
École nationale supérieure de techniques avancées Bretagne;ENSTA Bretagne;École;public;https://www,ensta-bretagne,fr/fr;48,418823,-4,472605;48.4188;-4.472605;https://www,wikidata,org/entity/Q3578240;1975;D029;Finistère;29806;BREST CEDEX 9;France;
Université de Nîmes;UNÎMES;Université;public;http://www,unimes,fr/;43,84274,4,35685;43.8427;4.35685;https://www,wikidata,org/entity/Q2496121;09/05/2007;D030;Gard;30021;Nîmes CEDEX 1;France;5393
Sciences Po Toulouse;IEP de Toulouse;Autre établissement;public;http://www,sciencespo-toulouse,fr/;43,605603,1,431672;43.6056;1.431672;https://www,wikidata,org/entity/Q1664755;04/05/1948;D031;Haute-Garonne;31000;Toulouse;France;1635
Université Toulouse Capitole;UT Capitole;Université;public;;43,606087,1,438184;43.6060;1.438184;;10/12/2022;D031;Haute-Garonne;31000;Toulouse cedex 9;France;18964
Toulouse INP;Toulouse INP;École;public;https://www,inp-toulouse,fr/;43,55539,1,50391;43.5553;1.50391;https://www,wikidata,org/entity/Q3152453;1969;D031;Haute-Garonne;31029;Toulouse CEDEX 4;France;4148
École nationale de l'aviation civile;ENAC;Grand établissement;public;https://www,enac,fr/fr;43,565904,1,480601;43.5659;1.480601;https://www,wikidata,org/entity/Q174335;28/08/1949;D031;Haute-Garonne;31055;Toulouse CEDEX 4;France;
Institut supérieur de l'aéronautique et de l'espace;ISAE-SUPAERO;Grand établissement;public;https://www,isae-supaero,fr/fr/;43,5656,1,47408;43.5656;1.47408;https://www,wikidata,org/entity/Q155446;27/09/2007;D031;Haute-Garonne;31055;Toulouse CEDEX 4;France;
École nationale de la météorologie;ENM;École;public;http://www,enm,meteo,fr/;43,57598,1,37422;43.5759;1.37422;https://www,wikidata,org/entity/Q3578126;1948;D031;Haute-Garonne;31057;Toulouse CEDEX 1;France;
Université Toulouse - Jean Jaurès;;Université;public;https://www,univ-tlse2,fr/;43,57954,1,40235;43.5795;1.40235;https://www,wikidata,org/entity/Q1933558;01/01/1971;D031;Haute-Garonne;31058;Toulouse CEDEX 9;France;29672
Université Toulouse III - Paul Sabatier;;Université;public;http://www,univ-tlse3,fr/;43,56287,1,46597;43.5628;1.46597;https://www,wikidata,org/entity/Q1273188;10/08/1970;D031;Haute-Garonne;31062;Toulouse CEDEX;France;28407
Institut catholique de Toulouse;;École;privé;https://www,ict-toulouse,fr/;43,59529,1,44233;43.5952;1.44233;https://www,wikidata,org/entity/Q1479987;1876;D031;Haute-Garonne;31068;Toulouse CEDEX 7;France;
Toulouse Business School;TBS;École;privé;https://www,tbs-education,fr/;43,610775,1,429964;43.6107;1.429964;https://www,wikidata,org/entity/Q3117393;1902;D031;Haute-Garonne;31068;TOULOUSE CEDEX 7;France;
École d'ingénieurs de Purpan;EI Purpan;École;privé;http://www,purpan,fr/;43,601838,1,400296;43.6018;1.400296;https://www,wikidata,org/entity/Q3577767;01/01/1919;D031;Haute-Garonne;31076;TOULOUSE CEDEX 3;France;
École nationale vétérinaire de Toulouse;;École;public;http://www,envt,fr/;43,6004,1,3819;43.6004;1.3819;https://www,wikidata,org/entity/Q3578275;1825;D031;Haute-Garonne;31076;Toulouse CEDEX 3;France;
Institut national des sciences appliquées de Toulouse;INSA de Toulouse;École;public;http://www,insa-toulouse,fr/;43,56960616644996,1,4677691459655764;43.5696;1.46776914596557;https://www,wikidata,org/entity/Q858979;29/11/1961;D031;Haute-Garonne;31077;Toulouse CEDEX 04;France;3077
École nationale supérieure d'architecture de Toulouse;ENSA Toulouse;École;public;http://www,toulouse,archi,fr/fr/index,html;43,579717,1,397345;43.5797;1.397345;https://www,wikidata,org/entity/Q3578191;;D031;Haute-Garonne;31106;TOULOUSE CEDEX 1;France;
